location_code,city,state,country,location_code_parent,country_iso_code,location_type
1020515,"Noel","Missouri","United States",21157,US,City
1020516,"Norborne","Missouri","United States",21157,US,City
1020517,"Norwood","Missouri","United States",21157,US,City
1020518,"Novinger","Missouri","United States",21157,US,City
1020519,"O'Fallon","Missouri","United States",21157,US,City
1020520,"Oak Grove","Jackson County","Missouri",21157,US,City
1020521,"Oak Ridge","Missouri","United States",21157,US,City
1020522,"Odessa","Missouri","United States",21157,US,City
1020523,"Oran","Missouri","United States",21157,US,City
1020524,"Oregon","Missouri","United States",21157,US,City
1020525,"Orrick","Missouri","United States",21157,US,City
1020526,"Osage Beach","Missouri","United States",21157,US,City
1020527,"Osborn","Missouri","United States",21157,US,City
1020528,"Osceola","Missouri","United States",21157,US,City
1020529,"Otterville","Missouri","United States",21157,US,City
1020530,"Owensville","Missouri","United States",21157,US,City
1020531,"Ozark","Missouri","United States",21157,US,City
1020532,"Pacific","Missouri","United States",21157,US,City
1020533,"Palmyra","Missouri","United States",21157,US,City
1020534,"Paris","Missouri","United States",21157,US,City
1020535,"Park Hills","Missouri","United States",21157,US,City
1020536,"Patton","Missouri","United States",21157,US,City
1020537,"Pattonsburg","Missouri","United States",21157,US,City
1020538,"Peace Valley","Missouri","United States",21157,US,City
1020539,"Peculiar","Missouri","United States",21157,US,City
1020540,"Perry","Missouri","United States",21157,US,City
1020541,"Perryville","Missouri","United States",21157,US,City
1020542,"Philadelphia","Missouri","United States",21157,US,City
1020543,"Piedmont","Missouri","United States",21157,US,City
1020544,"Pierce City","Missouri","United States",21157,US,City
1020545,"Pilot Grove","Missouri","United States",21157,US,City
1020546,"Pineville","Missouri","United States",21157,US,City
1020547,"Pittsburg","Missouri","United States",21157,US,City
1020548,"Plato","Missouri","United States",21157,US,City
1020549,"Platte City","Missouri","United States",21157,US,City
1020550,"Plattsburg","Missouri","United States",21157,US,City
1020551,"Pleasant Hill","Missouri","United States",21157,US,City
1020552,"Pleasant Hope","Missouri","United States",21157,US,City
1020553,"Point Lookout","Missouri","United States",21157,US,City
1020554,"Polo","Missouri","United States",21157,US,City
